context_tokens,context_label,process,pairs,split_saving_us,ci_low_us,ci_high_us,source
65536,65K,1,200,19.9200510979,19.5360183716,20.5439329147,experiments/hazy_second_edge_search/LONG_CONTEXT_AUDIT.json
65536,65K,2,200,19.3600058556,18.5920000076,20.7200050354,experiments/hazy_second_edge_search/LONG_CONTEXT_AUDIT.json
65536,65K,3,200,20.3199982643,19.2480087280,21.0079550743,experiments/hazy_second_edge_search/LONG_CONTEXT_AUDIT.json
98304,98K,1,200,32.7999591827,31.7120552063,33.6960554123,experiments/hazy_second_edge_search/LONG_CONTEXT_AUDIT.json
98304,98K,2,200,32.7999591827,32.1600437164,33.3440303802,experiments/hazy_second_edge_search/LONG_CONTEXT_AUDIT.json
98304,98K,3,200,32.5279235840,31.7759513855,33.5359573364,experiments/hazy_second_edge_search/LONG_CONTEXT_AUDIT.json
120000,120K,1,200,40.7040119171,39.9680137634,41.9360399246,experiments/hazy_second_edge_search/LONG_CONTEXT_AUDIT.json
120000,120K,2,200,40.8800840378,40.2399301529,41.2480831146,experiments/hazy_second_edge_search/LONG_CONTEXT_AUDIT.json
120000,120K,3,200,41.2800312042,40.0640964508,42.5759553909,experiments/hazy_second_edge_search/LONG_CONTEXT_AUDIT.json
131072,131K,1,100,45.4239845276,44.1598892212,47.5839376450,experiments/hazy_exact_boundary_pdl/AUDIT_SUMMARY.json
131072,131K,2,100,45.4878807068,44.4159507751,46.3998317719,experiments/hazy_exact_boundary_pdl/AUDIT_SUMMARY.json
131072,131K,3,100,46.6399192810,44.9280738831,47.6000308990,experiments/hazy_exact_boundary_pdl/AUDIT_SUMMARY.json
